image_id,gel_id,lane_index,lane_type,alias,band_index,x_norm,y_norm,w_norm,h_norm,y_center_norm,height_norm,intensity_norm,confidence,label
20240517_174014.jpg,20240517_174014,6,sample,L6,6,0.737,0.393667,0.03575,0.120333,0.453833,0.120333,1.0,1.0,band
20240517_174014.jpg,20240517_174014,6,sample,L6,7,0.737,0.792667,0.03575,0.122667,0.854,0.122667,0.996476,0.996476,band
20240517_174014.jpg,20240517_174014,6,sample,L6,8,0.737,0.792667,0.03575,0.122333,0.853833,0.122333,0.997903,0.997903,band
20240517_174014.jpg,20240517_174014,6,sample,L6,9,0.737,0.001333,0.03575,0.997667,0.500167,0.997667,0.550069,0.550069,band
20240517_174014.jpg,20240517_174014,7,sample,L7,1,0.786,0.001,0.11325,0.998333,0.500167,0.998333,0.423235,0.423235,band
20240517_174014.jpg,20240517_174014,7,sample,L7,2,0.786,0.001667,0.11325,0.177333,0.090333,0.177333,0.704966,0.704966,band
20240517_174014.jpg,20240517_174014,7,sample,L7,3,0.786,0.134667,0.11325,0.040667,0.155,0.040667,0.760004,0.760004,band
20240517_174014.jpg,20240517_174014,7,sample,L7,4,0.786,0.238667,0.11325,0.039667,0.2585,0.039667,0.837535,0.837535,band
20240517_174014.jpg,20240517_174014,7,sample,L7,5,0.786,0.327,0.11325,0.039333,0.346667,0.039333,0.862619,0.862619,band
20240517_174014.jpg,20240517_174014,7,sample,L7,6,0.786,0.468667,0.11325,0.038667,0.488,0.038667,0.897869,0.897869,band
20240517_174014.jpg,20240517_174014,7,sample,L7,7,0.786,0.571667,0.11325,0.030667,0.587,0.030667,0.828416,0.828416,band
20240517_174014.jpg,20240517_174014,7,sample,L7,8,0.786,0.673667,0.11325,0.039667,0.6935,0.039667,0.8071,0.8071,band
20240517_174014.jpg,20240517_174014,7,sample,L7,9,0.786,0.76,0.11325,0.036667,0.778333,0.036667,0.857102,0.857102,band
20240517_174014.jpg,20240517_174014,7,sample,L7,10,0.786,0.862667,0.11325,0.036,0.880667,0.036,1.0,1.0,band
20240517_174014.jpg,20240517_174014,7,sample,L7,11,0.786,0.001,0.11325,0.998,0.5,0.998,0.478237,0.478237,band
20240517_174014.jpg,20240517_174014,8,marker,M2,1,0.916,0.001,0.077,0.998,0.5,0.998,0.949713,0.949713,band
20240517_174014.jpg,20240517_174014,8,marker,M2,2,0.916,0.001,0.077,0.998,0.5,0.998,1.0,1.0,band
20241011_174239.jpg,20241011_174239,1,marker,M1,1,0.026388,0.000582,0.297998,0.999418,0.500291,0.999418,0.457072,0.457072,band
20241011_174239.jpg,20241011_174239,1,marker,M1,2,0.026388,0.001745,0.297998,0.997673,0.500582,0.997673,0.839617,0.839617,band
20241011_174239.jpg,20241011_174239,1,marker,M1,3,0.026388,0.018034,0.297998,0.980803,0.508435,0.980803,0.959453,0.959453,band
