file,line,label,pattern,snippet
autodense/plugin/src/main/java/autodense/util/OverlayExporter.java,14,ImageJ reference,\bImageJ\b,* Utility for exporting ImageJ overlays to PNG files
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandQuantification.java,31,ImageJ reference,\bImageJ\b,"LUMINANCE(0.299, 0.587, 0.114);  // ImageJ standard"
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/OverlayRenderer.java,32,ImageJ reference,\bImageJ\b,// These fonts work consistently across headless vs GUI ImageJ environments
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ParameterConverter.java,122,ImageJ reference,\bImageJ\b,"String thresholdMethod,     // ImageJ threshold method name"
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/PlateAlignment.java,1580,ImageJ reference,\bImageJ\b,* Uses ImageJ's built-in transformations instead of manual pixel operations
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/PlateAlignment.java,1584,ImageJ reference,\bImageJ\b,// Create transformed image using ImageJ's affine transformation
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/StreamlinedColonyTools.java,11,ImageJ reference,\bImageJ\b,* Streamlined colony analysis tools using robust ImageJ-based detection
autodense/plugin/src/main/java/com/betterdairy/autodense/capabilities/AnalysisCapabilityRegistry.java,225,ImageJ reference,\bImageJ\b,"""Identifies individual bacterial colonies using ImageJ ParticleAnalyzer with configurable size limits, circularity thresholds, and watershed splitting for touching colonies."","
autodense/plugin/src/main/java/com/betterdairy/autodense/cli/AutotuneAnalysisCLI.java,30,ImageJ reference,\bImageJ\b,import net.imagej.ImageJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/img/IJUtils.java,8,ImageJ reference,\bImageJ\b,* ImageJ utilities for overlay management and ROI Manager suppression.
autodense/plugin/src/main/java/com/betterdairy/autodense/orchestrator/OpenAiOrchestrator.java,23,ImageJ reference,\bImageJ\b,* Coordinates between ChatGPT Vision AI planning and ImageJ tool execution
autodense/plugin/src/main/java/com/betterdairy/autodense/orchestrator/OpenAiOrchestrator.java,472,ImageJ reference,\bImageJ\b,"- No vision analysis. Do not infer from image pixels; call ImageJ tools to measure, segment, annotate, or export."
autodense/plugin/src/main/java/com/betterdairy/autodense/orchestrator/OpenAiOrchestrator.java,476,ImageJ reference,\bImageJ\b,- You are an ImageJ/Fiji expert: prefer ImageJ tools for image operations; rely on preset workflows when applicable.
autodense/plugin/src/main/java/com/betterdairy/autodense/performance/PerformanceOptimizer.java,64,ImageJ reference,\bImageJ\b,// Use ImageJ's built-in scaling (bicubic interpolation)
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/EnhancedImageJLauncher.java,3,ImageJ reference,\bImageJ\b,import net.imagej.ImageJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/GelUI.java,31,ImageJ reference,\bImageJ\b,* - Drag-drop image loading with ImageJ integration
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/GelUI.java,348,ImageJ reference,\bImageJ\b,// Load image using ImageJ
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAiApiClient.java,249,ImageJ reference,\bImageJ\b,- Return a JSON response that will trigger the appropriate ImageJ analysis
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAiApiClient.java,335,ImageJ reference,\bImageJ\b,public String action;        // Action to execute in ImageJ
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAnalyzeCommand.java,3,ImageJ reference,\bImageJ\b,import net.imagej.ImageJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/service/AnalysisService.java,36,ImageJ reference,\bImageJ\b,* - ImageJ integration for overlays and ROI management
autodense/plugin/src/main/java/com/betterdairy/autodense/service/AnalysisService.java,390,ImageJ reference,\bImageJ\b,* ImageJ Integration - Display Overlay
